rental_type,complex_name,district,address,address_norm,house_type,building_form,completion_year,unit_type,area_exclusive_m2,room_count,household_count,unit_count,elevator,parking_count,heating_type,eligibility_summary,supply_class,income_bracket,household_size,protection_type,unit_no,priority_rank,deposit_krw,rent_krw,lat,lon,geocode_precision,geocode_shift_m,pnu,anchor_lat,anchor_lon,anchor_dist_m,anchor_score,hospital_dist_m,hospital_score,library_dist_m,library_score,mart_dist_m,mart_score,park_dist_m,park_score,sports_dist_m,sports_score,subway_dist_m,subway_score,daycare_dist_m,daycare_score,kindergarten_dist_m,kindergarten_score,elementary_dist_m,elementary_score,middle_school_dist_m,middle_school_score,high_school_dist_m,high_school_score,cafe_cnt_750m,cafe_score,convenience_cnt_750m,convenience_score,gym_cnt_750m,gym_score,laundry_cnt_750m,laundry_score,vet_cnt_750m,vet_score,study_cafe_cnt_750m,study_cafe_score,restaurant_cnt_750m,restaurant_score,bakery_cnt_750m,bakery_score,hair_salon_cnt_750m,hair_salon_score,pharmacy_cnt_750m,pharmacy_score,store_total_750m,noise_store_750m,noise_ratio,bustle_pct,noise_pct,vibe_t,vibe_score
매입임대,수영동,수영구,부산광역시 수영구 수미로14번길 30-8,부산광역시 수영구 수미로14번길 30-8,다세대주택,,1990,,42.72,2,4,1,미설치,0,,무주택 일반,,,,,101,,6152000,26000,35.1734574,129.1111122,Google 건물번지,64,2.65001E+18,,,,,1029,1,729,1,882,0.9296,531,1,1515,0.596,142,1,181,1,218,1,548,1,1046,0.8421,1247,0.7349,48,0.5641,23,0.5385,8,0.4615,20,0.7692,0,0,1,0.1795,336,0.5897,22,0.7564,123,1,0,0.359,1401,147,0.1049,0.5897,0.5641,,
매입임대,수영동,수영구,부산광역시 수영구 수미로14번길 30-8,부산광역시 수영구 수미로14번길 30-8,다세대주택,,1990,,41.79,2,4,1,미설치,0,,무주택 일반,,,,,102,,6152000,26000,35.1734574,129.1111122,Google 건물번지,64,2.65001E+18,,,,,1029,1,729,1,882,0.9296,531,1,1515,0.596,142,1,181,1,218,1,548,1,1046,0.8421,1247,0.7349,48,0.5641,23,0.5385,8,0.4615,20,0.7692,0,0,1,0.1795,336,0.5897,22,0.7564,123,1,0,0.359,1401,147,0.1049,0.5897,0.5641,,
매입임대,수영동,수영구,부산광역시 수영구 수미로14번길 30-8,부산광역시 수영구 수미로14번길 30-8,다세대주택,,1990,,65.22,3,4,1,미설치,0,,무주택 일반,,,,,201,,6152000,26000,35.1734574,129.1111122,Google 건물번지,64,2.65001E+18,,,,,1029,1,729,1,882,0.9296,531,1,1515,0.596,142,1,181,1,218,1,548,1,1046,0.8421,1247,0.7349,48,0.5641,23,0.5385,8,0.4615,20,0.7692,0,0,1,0.1795,336,0.5897,22,0.7564,123,1,0,0.359,1401,147,0.1049,0.5897,0.5641,,
매입임대,수영동,수영구,부산광역시 수영구 구락로43번길 20-11,부산광역시 수영구 구락로43번길 20-11,단독주택,,1992,,64.19,2,5,1,미설치,1,,무주택 일반,,,,,301,,4835000,33000,35.1715195,129.1179357,Google 건물번지,60,2.65001E+18,,,,,793,1,1556,1,1057,0.8363,432,1,847,0.9483,732,1,181,1,837,0.9536,739,1,870,0.936,1354,0.6779,55,0.5897,25,0.6026,10,0.5641,14,0.359,0,0,2,0.359,393,0.6667,18,0.5641,84,0.5897,1,0.859,1404,209,0.1489,0.6154,0.9744,,
매입임대,수영동,수영구,부산광역시 수영구 구락로43번길 20-11,부산광역시 수영구 구락로43번길 20-11,단독주택,,1992,,33.57,2,5,1,미설치,1,,무주택 일반,,,,,202,,4835000,33000,35.1715195,129.1179357,Google 건물번지,60,2.65001E+18,,,,,793,1,1556,1,1057,0.8363,432,1,847,0.9483,732,1,181,1,837,0.9536,739,1,870,0.936,1354,0.6779,55,0.5897,25,0.6026,10,0.5641,14,0.359,0,0,2,0.359,393,0.6667,18,0.5641,84,0.5897,1,0.859,1404,209,0.1489,0.6154,0.9744,,
매입임대,수영동,수영구,부산광역시 수영구 구락로43번길 20-11,부산광역시 수영구 구락로43번길 20-11,단독주택,,1992,,37.01,2,5,1,미설치,1,,무주택 일반,,,,,201,,4835000,33000,35.1715195,129.1179357,Google 건물번지,60,2.65001E+18,,,,,793,1,1556,1,1057,0.8363,432,1,847,0.9483,732,1,181,1,837,0.9536,739,1,870,0.936,1354,0.6779,55,0.5897,25,0.6026,10,0.5641,14,0.359,0,0,2,0.359,393,0.6667,18,0.5641,84,0.5897,1,0.859,1404,209,0.1489,0.6154,0.9744,,
매입임대,수영동,수영구,부산광역시 수영구 구락로43번길 20-11,부산광역시 수영구 구락로43번길 20-11,단독주택,,1992,,34.62,2,5,1,미설치,1,,무주택 일반,,,,,102,,4835000,33000,35.1715195,129.1179357,Google 건물번지,60,2.65001E+18,,,,,793,1,1556,1,1057,0.8363,432,1,847,0.9483,732,1,181,1,837,0.9536,739,1,870,0.936,1354,0.6779,55,0.5897,25,0.6026,10,0.5641,14,0.359,0,0,2,0.359,393,0.6667,18,0.5641,84,0.5897,1,0.859,1404,209,0.1489,0.6154,0.9744,,
매입임대,,수영구,부산광역시 수영구 구락로43번길 20-11,부산광역시 수영구 구락로43번길 20-11,단독주택,,1992,,35.96,2,5,1,미설치,1,,무주택 일반,,,,,101,,,,35.1715195,129.1179357,Google 건물번지,60,2.65001E+18,,,,,793,1,1556,1,1057,0.8363,432,1,847,0.9483,732,1,181,1,837,0.9536,739,1,870,0.936,1354,0.6779,55,0.5897,25,0.6026,10,0.5641,14,0.359,0,0,2,0.359,393,0.6667,18,0.5641,84,0.5897,1,0.859,1404,209,0.1489,0.6154,0.9744,,
매입임대,수영동,수영구,부산광역시 수영구 망미번영로74번길 62,부산광역시 수영구 망미번영로74번길 62,단독주택,,1990,,86.13,3,3,1,미설치,0,,무주택 일반,,,,,201,,4704000,54000,35.1731786,129.1139552,Google 건물번지,100,2.65001E+18,,,,,915,1,1064,1,788,0.9797,333,1,1198,0.7611,208,1,164,1,381,1,402,1,1190,0.7653,1462,0.6203,58,0.6154,27,0.6538,9,0.4872,15,0.4872,0,0,0,0.0256,405,0.6923,21,0.6795,95,0.6154,0,0.359,1498,198,0.1322,0.6923,0.8205,,
매입임대,수영동,수영구,부산광역시 수영구 망미번영로74번길 62,부산광역시 수영구 망미번영로74번길 62,단독주택,,1990,,39.17,2,3,1,미설치,0,,무주택 일반,,,,,102,,4704000,54000,35.1731786,129.1139552,Google 건물번지,100,2.65001E+18,,,,,915,1,1064,1,788,0.9797,333,1,1198,0.7611,208,1,164,1,381,1,402,1,1190,0.7653,1462,0.6203,58,0.6154,27,0.6538,9,0.4872,15,0.4872,0,0,0,0.0256,405,0.6923,21,0.6795,95,0.6154,0,0.359,1498,198,0.1322,0.6923,0.8205,,
매입임대,수영동,수영구,부산광역시 수영구 망미번영로74번길 62,부산광역시 수영구 망미번영로74번길 62,단독주택,,1990,,38.94,2,3,1,미설치,0,,무주택 일반,,,,,101,,4704000,54000,35.1731786,129.1139552,Google 건물번지,100,2.65001E+18,,,,,915,1,1064,1,788,0.9797,333,1,1198,0.7611,208,1,164,1,381,1,402,1,1190,0.7653,1462,0.6203,58,0.6154,27,0.6538,9,0.4872,15,0.4872,0,0,0,0.0256,405,0.6923,21,0.6795,95,0.6154,0,0.359,1498,198,0.1322,0.6923,0.8205,,
매입임대,수영동,수영구,부산광역시 수영구 수영성로 21-9,부산광역시 수영구 수영성로 21-9,다세대주택,,1989,,75.03,3,4,1,미설치,0,,무주택 일반,,,,,201,,4503000,75000,35.1698311,129.1178582,Google 건물번지,67,2.65001E+18,,,,,595,1,1607,1,1260,0.728,439,1,999,0.8672,723,1,233,1,632,1,864,0.9392,1044,0.8432,1512,0.5968,70,0.7821,27,0.6538,10,0.5641,17,0.6026,0,0,4,0.5385,423,0.7949,24,0.8333,102,0.7692,1,0.859,1572,215,0.1368,0.7692,0.8718,,
매입임대,,수영구,부산광역시 수영구 수영성로 21-9,부산광역시 수영구 수영성로 21-9,다세대주택,,1989,,43.38,3,4,1,미설치,0,,무주택 일반,,,,,102,,,,35.1698311,129.1178582,Google 건물번지,67,2.65001E+18,,,,,595,1,1607,1,1260,0.728,439,1,999,0.8672,723,1,233,1,632,1,864,0.9392,1044,0.8432,1512,0.5968,70,0.7821,27,0.6538,10,0.5641,17,0.6026,0,0,4,0.5385,423,0.7949,24,0.8333,102,0.7692,1,0.859,1572,215,0.1368,0.7692,0.8718,,
매입임대,수영동,수영구,부산광역시 수영구 수영성로 21-9,부산광역시 수영구 수영성로 21-9,다세대주택,,1989,,49.32,3,4,1,미설치,0,,무주택 일반,,,,,101,,4503000,75000,35.1698311,129.1178582,Google 건물번지,67,2.65001E+18,,,,,595,1,1607,1,1260,0.728,439,1,999,0.8672,723,1,233,1,632,1,864,0.9392,1044,0.8432,1512,0.5968,70,0.7821,27,0.6538,10,0.5641,17,0.6026,0,0,4,0.5385,423,0.7949,24,0.8333,102,0.7692,1,0.859,1572,215,0.1368,0.7692,0.8718,,
